date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:35	226/226	---M--	302	error ('Found')	text/html	date:Thu,%2005%20Aug%202021%2007:51:34%20GMT	http://some.co.kr/analysis/social/mention	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/analysis/social/mention.0.delayed	(from )
16:51:35	53259/53259	---M-Z	200	added ('200')	text/html	date:Thu,%2005%20Aug%202021%2007:51:34%20GMT	https://some.co.kr/analysis/social/mention	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/analysis/social/mention.html	(from )
16:51:35	3691/3691	---M--	404	error ('404')	text/html	date:Thu,%2005%20Aug%202021%2007:51:35%20GMT	https://some.co.kr/robots.txt		(from )
16:51:35	3293/3293	---M--	200	added ('OK')	image/png	etag:%22cdd-5c8b402a1686a%22	https://static.some.co.kr/sometrend/images/imagewrap/favicon/homIcon_114_114.png	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/images/imagewrap/favicon/homIcon_114_114.png	(from https://some.co.kr/analysis/social/mention)
16:51:36	2142/2142	---M--	200	added ('OK')	image/png	etag:%2285e-5c8b402a16c52%22	https://static.some.co.kr/sometrend/images/imagewrap/favicon/homIcon_72_72.png	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/images/imagewrap/favicon/homIcon_72_72.png	(from https://some.co.kr/analysis/social/mention)
16:51:36	1321388/1321388	---MCZ	200	added ('200')	text/css	date:Wed,%2004%20Aug%202021%2005:54:10%20GMT	https://some.co.kr/renewal_resources/css/style-2086726e17200c248ee06439051f5df7.css	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/renewal_resources/css/style-2086726e17200c248ee06439051f5df7.css	(from https://some.co.kr/analysis/social/mention)
16:51:36	260527/260527	---M--	200	added ('200')	image/gif	date:Wed,%2004%20Aug%202021%2005:52:34%20GMT	https://some.co.kr/renewal_resources/images/aiLoading/AiLoading.gif	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/renewal_resources/images/aiLoading/AiLoading.gif	(from https://some.co.kr/analysis/social/mention)
16:51:36	75494/75494	---M-Z	200	added ('200')	text/html	date:Thu,%2005%20Aug%202021%2007:51:36%20GMT	https://some.co.kr/analysis/social/association	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/analysis/social/association.html	(from https://some.co.kr/analysis/social/mention)
16:51:37	118790/118790	---M-Z	200	added ('200')	text/html	date:Thu,%2005%20Aug%202021%2007:51:36%20GMT	https://some.co.kr/analysis/social/reputation	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/analysis/social/reputation.html	(from https://some.co.kr/analysis/social/mention)
16:51:37	1045312/1045312	---MCZ	200	added ('OK')	application/javascript	etag:%22ff340-5c8b402ec44ee-gzip%22	https://static.some.co.kr/sometrend/common/amchart-4.10.10/core.js	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/common/amchart-4.10.10/core.js	(from https://some.co.kr/analysis/social/mention)
16:51:37	146539/146539	---M-Z	200	added ('OK')	application/javascript	etag:%2223c6b-5c8b402ea608b-gzip%22	https://static.some.co.kr/sometrend/common/amchart-4.10.10/charts.js	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/common/amchart-4.10.10/charts.js	(from https://some.co.kr/analysis/social/mention)
16:51:37	2247/2247	---M-Z	200	added ('OK')	application/javascript	etag:%228c7-5c8b402e0d32c-gzip%22	https://static.some.co.kr/sometrend/common/amchart-4.10.10/themes/animated.js	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/common/amchart-4.10.10/themes/animated.js	(from https://some.co.kr/analysis/social/mention)
16:51:38	2611/2611	---M-Z	200	added ('OK')	application/javascript	etag:%22a33-5c8b402bd1685-gzip%22	https://static.some.co.kr/sometrend/js/FileSaver/dist/FileSaver.min.js	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/js/FileSaver/dist/FileSaver.min.js	(from https://some.co.kr/analysis/social/mention)
16:51:38	934850/934850	---MCZ	200	added ('OK')	application/javascript	etag:%22e43c2-5c8b402bd02fd-gzip%22	https://static.some.co.kr/sometrend/js/sheetjs/dist/xlsx.full.min.js	C:/Users/SMHRD/Desktop/luxurytrend/static.some.co.kr/sometrend/js/sheetjs/dist/xlsx.full.min.js	(from https://some.co.kr/analysis/social/mention)
16:51:38	4212/4212	---MCZ	200	added ('200')	application/javascript	etag:%221565d576f2f27724a3fb3b5ef487ec1e-gzip%22	https://some.co.kr/renewal_resources/js/app/runtime.bundle-1565d576f2f27724a3fb3b5ef487ec1e.js	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/renewal_resources/js/app/runtime.bundle-1565d576f2f27724a3fb3b5ef487ec1e.js	(from https://some.co.kr/analysis/social/mention)
16:51:38	1288904/1288904	---MCZ	200	added ('200')	application/javascript	etag:%222956b82281aa949e6b0c6f9c160b9f75-gzip%22	https://some.co.kr/renewal_resources/js/app/vendors.bundle-2956b82281aa949e6b0c6f9c160b9f75.js	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/renewal_resources/js/app/vendors.bundle-2956b82281aa949e6b0c6f9c160b9f75.js	(from https://some.co.kr/analysis/social/mention)
16:51:39	127755/127755	---MCZ	200	added ('200')	application/javascript	etag:%22143aa275927c87c49e793cdec0c10b72-gzip%22	https://some.co.kr/renewal_resources/js/app/mention.bundle-143aa275927c87c49e793cdec0c10b72.js	C:/Users/SMHRD/Desktop/luxurytrend/some.co.kr/renewal_resources/js/app/mention.bundle-143aa275927c87c49e793cdec0c10b72.js	(from https://some.co.kr/analysis/social/mention)
